References	Qty	Description	Part Number	Digikey	Mouser	RS	Newark	Farnell
C3,C4	2		UWX1C100MCL2GB	493-2099-1-ND	647UWX1C100MCL2			
D1	1		LTST-C190KRKT	160-1436-1-ND	859LTSTC190KRKT			
U2	1		STF202-22T1G	STF202-22T1GOSCT-ND	863STF20222T1G			
C5	1		CC0603KRX7R9BB472	311-1083-1-ND	603C0603KRX7R9BB472			
L2	1		ELL-VFG100MC	PCD2293CT-ND	667ELLVFG100MC			
U3	1		ATSAMD21E18A-MU	ATSAMD21E18A-MU-ND	556ATSAMD21E18AMU			
L1	1		BLM18EG221SN1D	490-3992-1-ND	81BLM18EG221SN1D			
R3	1		RC0603FR-0710KL	311-10.0KHRCT-ND	603RC0603FR0710KL			
S1	1		PTS810 SJM 250 SMTR LFS	CKN10502CT-ND	611PTS810SJM250SMTR			
P1	1		10118193-0001LF	609-4616-1-ND	649101181930001LF			
C1,C2	2		CC0603MRX5R5BB225	311-1814-1-ND	603CC603MRX5R5BB225			
U1	1		MIC5528-3.3YMT-TR	576-4766-1-ND	998MIC55283.3YMTTR			
C8-C11	4		CC0603KRX7R9BB104	311-1344-1-ND	603CC603KRX7R9BB104			
R1	1		RC0603FR-071ML	311-1.00MHRCT-ND	603RC0603FR071ML			
P2,P3	2		PREC014SACN-RC	S1032EC-14-ND				
R2,R4	2		RC0603FR-07330RL	311-330HRCT-ND	603RC0603FR07330RL			
X1	1		ABS07-32.768KHZ-7-T	535-9543-1-ND	815ABS0732.768K7T			
C6,C7	2		CC0603JRNPO9BN100	311-1058-1-ND	603C0603JRNPO9BN100			
